Date,Open,High,Low,Close,Volume,Adj Close
12/31/2014,56.29,57.37,53.85,54,222000,54
12/30/2014,51.61,55.99,51.61,55.9,11300,55.9
12/29/2014,48.86,52.63,48.81,51.92,119300,51.92
12/26/2014,47.5,48.81,46.51,48.64,52400,48.64
12/24/2014,48.42,48.42,46,47.3,161200,47.3
12/23/2014,51.73,52,48.34,48.5,129100,48.5
12/22/2014,51.35,52.23,50.58,51.7,137600,51.7
12/19/2014,50.71,52.56,50.02,51.56,717200,51.56
12/18/2014,51.39,52.4,48.44,50.36,156200,50.36
12/17/2014,50.69,52.35,50.01,50.45,192900,50.45
12/16/2014,50.9,52.35,50.54,50.79,207100,50.79
12/15/2014,50.94,52.4,48.09,51.27,217400,51.27
12/12/2014,49.46,51.83,49,50.49,200900,50.49
12/11/2014,46.76,54.17,46.68,49.91,544900,49.91
12/10/2014,47,47.04,45.52,46.77,123800,46.77
12/9/2014,43.91,49.07,43.57,46.96,357300,46.96
12/8/2014,43.81,44.48,43.1,44.26,85900,44.26
12/5/2014,42.38,44.35,42.29,43.5,136800,43.5
12/4/2014,41.29,42.7,40.01,42.19,111400,42.19
12/3/2014,39.99,42.54,39.29,41.17,189400,41.17
12/2/2014,38.31,40,37.85,39.85,134300,39.85
12/1/2014,39.3,39.74,37.03,37.94,153600,37.94
11/28/2014,40.21,40.99,39.06,39.49,37400,39.49
11/26/2014,38.51,40.82,38.31,40.17,244700,40.17
11/25/2014,35.87,39.67,34.9,38.69,336600,38.69
11/24/2014,34.85,36.19,33.79,35.67,67200,35.67
11/21/2014,34.38,35.38,33.23,34.64,55900,34.64
11/20/2014,32.55,34.04,32.02,33.81,79900,33.81
11/19/2014,33.84,33.84,32.57,32.64,33000,32.64
11/18/2014,33.02,33.85,32.98,33.79,40200,33.79
11/17/2014,33.96,34.57,32.81,32.81,60300,32.81
11/14/2014,34.52,34.98,32.76,33.96,117600,33.96
11/13/2014,33.55,34.94,33.55,34.6,151300,34.6
11/12/2014,32.82,34.24,32.7,33.65,29500,33.65
11/11/2014,34.48,35.25,33.02,33.12,50700,33.12
11/10/2014,35,35.71,33.8,34.4,34200,34.4
11/7/2014,34.6,35.02,33.02,35,64600,35
11/6/2014,33.4,34.8,33.02,34.75,36700,34.75
11/5/2014,36.57,36.89,32.74,33.51,88700,33.51
11/4/2014,36.09,37.38,35.45,36.39,77800,36.39
11/3/2014,35.88,36.44,34.91,35.98,84700,35.98
10/31/2014,36.57,36.99,35.64,35.88,77800,35.88
10/30/2014,34.03,36.75,33.25,35.69,158700,35.69
10/29/2014,33.28,34.89,32.76,33.53,131200,33.53
10/28/2014,33.9,33.9,33.03,33.4,70800,33.4
10/27/2014,32.93,33.85,32.75,33.59,33500,33.59
10/24/2014,33.93,34.24,33.68,34.22,25100,34.22
10/23/2014,32.58,35.3,32.52,33.9,86500,33.9
10/22/2014,32.52,33.46,31.54,32.64,56900,32.64
10/21/2014,30.33,32.88,30.33,32.67,101100,32.67
10/20/2014,30,30.93,29.68,30.21,53200,30.21
10/17/2014,30.93,31.69,30.02,30.21,79600,30.21
10/16/2014,30.98,30.98,28.76,30.41,40700,30.41
10/15/2014,29.56,30.88,28.74,30.59,83700,30.59
10/14/2014,30.55,31.24,29.76,29.97,123500,29.97
10/13/2014,30.03,31.13,30,30.27,69900,30.27
10/10/2014,30.35,31.17,29.76,29.9,135100,29.9
10/9/2014,31.24,32.3,30.15,30.35,84800,30.35
10/8/2014,32,32.18,31.02,31.35,109200,31.35
10/7/2014,33.6,33.6,31.02,31.54,58500,31.54
10/6/2014,33.74,34.99,32.91,33.99,108800,33.99
10/3/2014,34.56,34.98,33.68,33.7,80900,33.7
10/2/2014,32.37,34.4,31.74,34.27,153400,34.27
10/1/2014,34,34.94,31.21,32.27,215700,32.27
9/30/2014,36.25,36.46,34.02,34.19,970300,34.19
9/29/2014,35.67,36.7,34.5,36.35,179900,36.35
9/26/2014,35.48,36.23,34.02,36,67400,36
9/25/2014,34.2,36.1,32.7,35.26,211600,35.26
9/24/2014,33.75,34.7,32.34,34.26,90800,34.26
9/23/2014,33.77,33.83,32.1,33.59,143300,33.59
9/22/2014,31.1,33.46,29.9,32.88,145100,32.88
9/19/2014,31.53,32.14,30.5,31.1,318300,31.1
9/18/2014,33.06,34.14,31.25,31.55,152400,31.55
9/17/2014,32.3,34,32.19,32.78,105300,32.78
9/16/2014,32.83,33.53,31.19,32.45,89100,32.45
9/15/2014,35.76,35.98,32,33.03,291700,33.03
9/12/2014,32.51,36.78,31.29,35.7,270700,35.7
9/11/2014,30.95,32.6,30.22,32.43,159200,32.43
9/10/2014,29.69,31.49,29.61,30.74,54800,30.74
9/9/2014,29.97,30.51,28.6,29.99,75100,29.99
9/8/2014,31.2,31.4,29.56,29.85,52700,29.85
9/5/2014,30.32,31.6,30.29,31.05,58300,31.05
9/4/2014,30.9,31.59,29.96,30.55,90900,30.55
9/3/2014,30.19,31.1,30.01,30.6,81800,30.6
9/2/2014,29.7,31.49,29.31,30.24,98900,30.24
8/29/2014,29.4,31.19,28.8,29.63,55600,29.63
8/28/2014,29,29.5,28.24,29.43,45400,29.43
8/27/2014,29.88,29.92,28.45,29.48,42500,29.48
8/26/2014,29.98,30.9,28.18,29.27,128200,29.27
8/25/2014,31.19,31.57,29.04,30.25,385700,30.25
8/22/2014,30.16,30.92,30.01,30.52,109700,30.52
8/21/2014,31.35,31.78,30.02,30.15,112300,30.15
8/20/2014,30.93,32.38,29.85,31.58,177700,31.58
8/19/2014,28,31.31,27.8,30.85,105000,30.85
8/18/2014,28.8,28.9,27.31,28.3,43300,28.3
8/15/2014,26.81,29.8,26.81,27.26,76600,27.26
8/14/2014,24.99,27.15,23.91,26.17,64100,26.17
8/13/2014,24,25.44,24,24.38,104100,24.38
8/12/2014,23.5,24.13,22.51,23.91,124400,23.91
8/11/2014,23.59,24.74,23.55,23.75,43700,23.75
8/8/2014,23.21,24.74,23.01,23.54,80300,23.54
8/7/2014,23.45,25,22.82,23,73700,23
8/6/2014,22.95,24.86,22.06,23.37,139200,23.37
8/5/2014,24.13,24.14,22,22.6,144500,22.6
8/4/2014,24.98,26.4,24,24.25,141300,24.25
8/1/2014,26.95,27.15,25,25.16,465900,25.16
7/31/2014,25,28.95,24.05,27.99,6316000,27.99
